timestamp,actual_roll,cmd_roll,baro_alt,roll_rate,vert_vel,servo_cmd,servo_act
0,0,0,-0.000981000849206011,0,-0.0981000849206011,0,0
0.05,0,0,0.133310983463797,0,4.52724359459789,0,0
0.1,0,0,0.494841671932184,0,9.03497477588644,0,0
0.15,0,0,1.08125389174828,0,13.5164844534709,0,0
0.2,0,0,1.89008394005868,0,17.9423089813025,0,0
0.25,0,0,2.91734027867883,0,22.2620020987401,0,0
0.3,0,0,4.15770576601946,0,26.5097845887311,0,0
0.35,0,0,5.61063169652975,0,30.745346599084,0,0
0.4,0,0,7.27255117714536,0,34.8881420340547,0,0
0.45,0,0,9.13998335630912,0,38.9872820005855,0,0
0.5,0,0,11.2119757318482,0,43.0730112706544,0,0
0.55,0,0,13.4874515752407,0,47.1283204826321,0,0
0.6,0,0,15.9644343551766,0,51.1415164363974,0,0
0.65,0,0,18.6408540653363,0,55.1145766042255,0,0
0.7,0,0,21.5147734072259,0,59.049037375308,0,0
0.75,0,0,24.5842283608964,0,62.9437696974723,0,0
0.8,0,0,27.846636225048,0,66.7621006659947,0,0
0.85,0,0,31.2950593948714,0,70.4222816048502,0,0
0.9,0,0,34.9226324455255,0,73.9531216245078,0,0
0.95,0,0,38.7193104227777,0,77.203979044485,0,0
1,0,0,42.6677790285393,0,80.1042246226851,0,0
1.05,0,0,46.7511733071742,0,82.6743333219858,0,0
1.1,0,0,50.9362744196136,0,84.1317740629626,0,0
1.15,0,0,55.1482036229076,0,84.1681025997368,0,0
1.2,0,0,59.3348203587042,0,83.4170571811968,0,0
1.25,0,0,63.4821389269478,0,82.6333188046311,0,0
1.3,0,0,67.5904356239218,0,81.8550699478102,0,0
1.35,0,0,71.6599822297597,0,81.0822209769234,0,0
1.4,0,0,75.6910460937287,0,80.3146839466109,0,0
1.45,0,0,79.6838902173854,0,79.5523725579044,0,0
1.5,0,0,83.6387733356656,0,78.7952021173889,0,0
1.55,3.00592330975282,90,87.5559499959675,106.715401788518,78.043089497544,23.9151363833666,24.8269097203015
1.6,11.2030779696878,90,91.4356706352865,195.897484686492,77.2959530982246,13.5537109335997,15.5122399524533
1.65,22.5232340230934,90,95.2781816554568,241.541288056371,76.5537128092437,5.27677332644957,6.83966183247195
1.7,35.0785534232099,90,99.0837254965549,253.749455074983,75.8162899740182,-0.809778224392493,0.324968176534828
1.75,47.5124710227705,90,102.852540708516,242.833695388303,75.083607354244,-4.95282442568573,-4.19469714748417
1.8,58.9345705450745,90,106.584862021013,217.410416932745,74.355589095565,-7.46601716736049,-7.02063973408456
1.85,68.830594781355,90,110.28092041165,184.278181106547,73.6321606942039,-8.67965031632353,-8.48107709887961
1.9,76.9740882577811,90,113.940943172517,148.519474663132,72.9132489645222,-8.91210743668327,-8.89765228049999
1.95,83.3462659154492,90,117.565153975141,113.698858337804,72.1987820074799,-8.45135387167911,-8.56495095177947
2,88.067359274589,90,121.153772933897,82.1080678099906,71.4886891799642,-7.54431744233082,-7.73837196489592
2.05,91.3407115499486,90,124.707016667905,55.0237693189484,70.78290106496,-6.39242898883769,-6.62850246867893
2.1,93.4095081042212,90,128.225098361462,32.9543876673035,70.0813494425347,-5.15171713534518,-5.40036210712027
2.15,94.525120419277,90,131.708227823045,15.8612040314413,69.3839672616106,-3.93603467111743,-4.17605479562005
2.2,94.9255165860578,90,135.156611542926,3.34584312186327,68.6906886124995,-2.82221847143334,-3.03958415166463
2.25,94.8219592191488,90,138.570452749438,-5.1985541431217,68.0014487001761,-1.85622294709261,-2.04282497264556
2.3,94.3921911839388,90,141.949951463928,-10.4715438062638,67.3161838182657,-1.0594978269533,-1.21187607485567
2.35,93.778430730729,90,145.29530455442,-13.1817119704891,66.6348313237237,-0.435090819372177,-0.553234168219681
2.4,93.0887036622369,90,148.606705788045,-13.990557908934,65.9573296121852,0.0268636789790594,-0.0594150908065491
2.45,92.4002869645277,90,151.884345882252,-13.4788355570508,65.2836180939636,0.344460661605566,0.286196700239147
2.5,91.764293663036,90,155.128412554836,-12.1302974628628,64.6136371706783,0.54022098223941,0.50536775885231
2.55,91.2106705222877,90,158.33909057282,-10.3281876344703,63.9473282124902,0.638159171666741,0.621911141923847
2.6,90.7530950209283,90,161.516561800211,-8.3604448896195,63.2846335359287,0.661655856089016,0.659401581414919
2.65,90.3934388375795,90,164.661005244674,-6.43028839975833,62.6254963822896,0.632032903892219,0.639614696441036
2.7,90.1256098102874,90,167.772597103132,-4.6695769154713,61.9698608965872,0.567712289689715,0.581574050614589
2.75,89.9386943151116,90,170.851510806336,-3.15300547297347,61.3176721070438,0.483836110339124,0.501083756482266
2.8,89.8194007328223,90,173.897917062423,-1.911793877067,60.6688759051001,0.392231239361823,0.410628605601945
2.85,89.7538567872247,90,176.911983899492,-0.946013312908136,60.0234190259294,0.301614357105103,0.31953483520035
2.9,89.7288441186494,90,179.893876707217,-0.235087416934653,59.3812490294427,0.21794876735071,0.234299727021068
2.95,89.7325674767575,90,182.843758277529,0.253702729953699,58.742314281767,0.144881356736902,0.159014996744407
3,89.755057914745,90,185.761788844379,0.558673215143198,58.1065639371852,0.0842047018582043,0.0958256902107984
3.05,87.6047194880555,0,188.648126122618,-79.2816113584323,57.4739479205214,-40,-38.7470054471809
3.1,80.8132494531793,0,191.502925346009,-171.118387897443,56.8444169099604,-31.1654446468024,-34.0968720359423
3.15,70.3782327199086,0,194.326339304388,-228.351601305631,56.2179223202862,-14.4367186572728,-17.5970641525553
3.2,58.1982011125037,0,197.11851838,-249.6493838233,55.5944162865294,-1.69467047575146,-4.08337539675581
3.25,45.7681873060944,0,199.879610583035,-245.099014044176,54.9738516480096,7.27639847000851,5.62120751844593
3.3,34.1027096990766,0,202.609761586372,-223.736763991374,54.3561819327616,13.0068760207097,11.9762793674889
3.35,23.8172022207299,0,205.309114759557,-192.829417230929,53.7413613423345,16.0932366185659,15.5672224425916
3.4,15.2163044654997,0,207.977811202032,-157.908756065235,53.1293447369527,17.1313057301251,16.9918605355654
3.45,8.37584771814563,0,210.615989775634,-122.941722149346,52.5200876210277,16.6752680761304,16.8139381396214
3.5,3.21433025081116,0,213.223787136376,-90.561132262748,51.9135461290108,15.2123738406436,15.5347828923501
3.55,-0.447932735177852,0,215.801337765537,-62.31848914441,51.3096770115768,13.1500164237402,13.5780273313058
3.6,-2.84225591279337,0,218.348774000064,-38.9324758738231,50.7084376221297,10.8122525921587,11.2843521427347
3.65,-4.21686392115496,0,220.866226062312,-20.5159872849809,50.109785903619,8.44310069925348,8.9135273616728
3.7,-4.81261300484693,0,223.353822089135,-6.77194325015525,49.5136803756612,6.21430868498423,6.65136923536791
3.75,-4.84745027597776,0,225.811688160341,2.84624432777759,48.9200801219535,4.23568765980899,4.61962691942452
3.8,-4.50782732268947,0,228.239948326522,9.00964099665262,48.3289447779753,2.56651689480313,2.88722340079179
3.85,-3.94536577475996,0,230.638724636289,12.4216031397086,47.7402345189665,1.22691205944437,1.48166678076993
3.9,-3.27725346142265,0,233.008137162897,13.7542588476471,47.1539100481757,0.208391526241299,0.399800170140248
3.95,-2.58908363458506,0,235.348304030307,13.6087428085909,46.5699325853712,-0.516834706654142,-0.382640941185094
4,-1.93910106770904,0,237.659341438672,12.494151028942,45.988263855606,-0.98809584024788,-0.902950560674039
4.05,-1.36306296395463,0,239.941363689268,10.8204779637901,45.4088660782308,-1.25007525076135,-1.20495120272844
4.1,-0.879143679394834,0,242.194483208888,8.90134985949534,44.831701956148,-1.34814635527966,-1.33403044282998
4.15,-0.492501517776162,0,244.418810573704,6.96304671339166,44.256734665298,-1.32508196172781,-1.33358287933982
4.2,-0.199279851668663,0,246.614454532609,5.15701748781788,43.6839278443749,-1.21894141966887,-1.24267022832994
4.25,0.0100660645172647,0,248.781522030048,3.57377443422756,43.1132455847608,-1.06191973263822,-1.0946867985258
4.3,0.148138148837146,0,250.920118228362,2.25666206962637,42.5446524206765,-0.879943485680683,-0.916814389951728
4.35,0.228622644914009,0,253.030346529636,1.2145130035231,41.9781133195399,-0.692813530335144,-0.730063104170516
4.4,0.264901107235168,0,255.112308597076,0.432619153541151,41.4135936725273,-0.514718407688285,-0.549716994682129
4.45,0.269152315974882,0,257.16610437592,-0.118234409548667,40.8510592853327,-0.354971099932808,-0.386031331284318
4.5,0.251846815774049,0,259.19183211389,-0.474695600073784,40.2904763691175,-0.218851539986293,-0.245057955560239
4.55,0.221539545245108,0,261.189588381197,-0.675599816509903,39.7318115316476,-0.108465979086644,-0.129504183987448
4.6,0.184875595596101,0,263.159468090117,-0.758328795047378,39.1750317686112,-0.0235602318969835,-0.0395572308993755
4.65,0.146736836305823,0,265.101564514122,-0.756505333064627,38.6201044551132,0.0377539223263356,0.0263708627185268
4.7,0.110470968674428,0,267.015969306608,-0.698745998326379,38.06699733734,0.0783816884497907,0.07100377950498
4.75,0.0781581016705838,0,268.902772519197,-0.60820849352931,37.5156785243922,0.101745880205223,0.0976779607184716
4.8,0.0508822741225864,0,270.762062619648,-0.502699687546295,36.9661164802776,0.111403125096572,0.109935973919148
4.85,0.0289859567502986,0,272.593926509362,-0.39514727352857,36.4182800160635,0.1107664432275,0.111228309091005
4.9,0.0122942433109436,0,274.398449540505,-0.294277241552324,35.8721382821801,0.102920662409172,0.104710834067473
4.95,0.000302185340383274,0,276.175715532747,-0.205377157711565,35.3276607608749,0.0905150228600336,0.0931226086609259
5,-0.00767631395130301,0,277.925806789635,-0.131059275213772,34.7848172588098,0.0757169023492772,0.0787280175167641
5.05,-0.0123962236410875,0,279.648804114591,-0.0719664923524057,34.2435778998006,0.0602113715254824,0.0633077382094782
5.1,-0.0146017811842796,0,281.344786826557,-0.0273876501726313,33.7039131176924,0.0452328518313054,0.0481844819313406
5.15,-0.0149745025218244,0,283.013832775286,0.00423326820539241,33.1657936493685,0.0316171522229243,0.0342713715905875
5.2,-0.0141033886566672,0,284.656018356288,0.0248963418432549,32.6291905278883,0.0198643382718844,0.0221329737557378
5.25,-0.0124720777550645,0,286.271418525436,0.0367467463536304,32.0940750757517,0.0102050404838017,0.0120511653079899
5.3,-0.0104581947177523,0,287.860106813239,0.041865650000606,31.5604188982849,0.00266480197986821,0.00409004506804572
5.35,-0.00834083841577356,0,289.422155338787,0.0421363209654421,31.028193877146,-0.00287718479829821,-0.00184409879112529
5.4,-0.00631290648958575,0,290.957634823377,0.0391701118475552,30.4973721639455,-0.00663713912375183,-0.00595023312369824
5.45,-0.00449570791464657,0,292.466614603824,0.0342776802705485,29.9679261739795,-0.00888457023651881,-0.00848867721656897
5.5,-0.00295400154343489,0,293.949162645456,0.0284723578113021,29.4398285800723,-0.00990910886148777,-0.00974615516891295
5.55,-0.00171019412912505,0,295.405345554811,0.0224945872449935,28.9130523065247,-0.00999580102000638,-0.0100094282416656
5.6,-0.000756920684663735,0,296.835228592031,0.0168485071161057,28.3875705231656,-0.00940796648047649,-0.00954668298647036
5.65,-6.76125745538279e-05,0,298.238875682964,0.0118438606156262,27.8633566395043,-0.00837649816690962,-0.00859559041523606
5.7,0.000395058113864166,0,299.616349430973,0.00763830649673568,27.3403842989801,-0.00709439390531912,-0.00735683984936223
5.75,0.000672773278371795,0,300.967711128465,0.00427683775848289,26.8186273733057,-0.00571533115678801,-0.00599195089624472
5.8,0.000806994224152735,0,302.293020768136,0.001726339371078,26.298059956904,-0.00435518628782452,-0.00462424475939833
5.85,0.000835942940774342,0,303.59233705394,-9.56576850906291e-05,25.7786563614331,-0.00309553502948426,-0.00334198331757897
5.9,0.000792840794448462,0,304.865717411793,-0.00129821803712251,25.2603911103984,-0.00198832802771032,-0.00220283798351383
5.95,0.000705112835240164,0,306.113218000002,-0.00199991897443326,24.7432389338493,-0.0010610979386214,-0.00123901239993524
6,0.000594292101953038,0,307.334893719438,-0.00231680696565204,24.2271747631573,-0.000322210252434091,-0.000462500505990927
6.05,0.00047639549678498,0,308.530798223445,-0.00235459573600295,23.7121737258735,0.00023418909338155,0.000129894410979521
6.1,0.000362584514491106,0,309.7009839275,-0.00220426017038564,23.1982111406634,0.000623754881471006,0.000552028675510281
6.15,0.00025996571007598,0,310.845502018615,-0.00194021170188211,22.6852625123162,0.000868178263735333,0.000824519997430661
6.2,0.00017242420876734,0,311.964402464498,-0.00162032243472886,22.1733035268271,0.000992124232905541,0.000971544235456818
6.25,0.00010141700620333,0,313.057734022467,-0.00128717403702913,21.6623100465493,0.00102086002302217,0.00101832714835027
6.3,4.66804557044199e-05,0,314.125544248123,-0.000970026142181723,21.1522581054148,0.0009785231752826,0.000989287292833386
6.35,6.82808206129048e-06,0,315.16787950379,-0.000687115421183685,20.6431239042214,0.000886952768192456,0.000906758078510263
6.4,-2.01689355565483e-05,0,316.184784966715,-0.000448002712370337,20.1348838059827,0.000764994321923734,0.000790201666288572
6.45,-3.66149485246193e-05,0,317.176304637044,-0.000255777131196465,19.6275143313419,0.000628185341124993,0.00065582206999283
6.5,-4.48257910262154e-05,0,318.142481345566,-0.000109001049184154,19.1209921540442,0.000488731788137921,0.000516486869320731
6.55,-4.69526097610352e-05,0,319.083356761233,-3.33821693240171e-06,18.6152940964682,0.000355693738666473,0.000381874056764552
6.6,-4.48771438468302e-05,0,319.998971398462,6.71496594220953e-05,18.1103971252136,0.000235309196894544,0.000258770778594112
6.65,-4.01622315342353e-05,0,320.889364624212,0.000109022935267425,17.606278346743,0.00013139704986978,0.000151462527815705
6.7,-3.40426641740844e-05,0,321.754574664848,0.000128767133470345,17.1029150030764,4.57922958047122e-05,6.21635083543635e-05
6.75,-2.74435078290072e-05,0,322.594638612794,0.000132335823279391,16.6002844675372,-2.1221813573864e-05,-8.54944995942611e-06
6.8,-2.10152991800563e-05,0,323.40959243297,0.000124886673825369,16.0983642405466,-7.05097435330551e-05,-6.13264635037137e-05
6.85,-1.5177828288441e-05,0,324.199470969018,0.00011066537695683,15.5971319454656,-0.000103723921179028,-9.76755259227351e-05
6.9,-1.01663679808614e-05,0,324.964307949335,9.29963660929217e-05,15.0965653244831,-0.000122998134601138,-0.000119645070548939
6.95,-6.0760916449512e-06,0,325.704135992881,7.43451240245549e-05,14.5966422345479,-0.000130697252330657,-0.000129562412313563
7,-2.90198715902156e-06,0,326.418986614806,5.64233860866556e-05,14.097340643343,-0.000129222174242663,-0.000129827776548724
7.05,-5.72814317846276e-07,0,327.108890231859,4.0315002930668e-05,13.5986386253009,-0.000120865962703983,-0.000122760408828576
7.1,1.02141602850508e-06,0,327.773876167612,2.66061671430451e-05,13.1005143576586,-0.000107715236111279,-0.000110491182444894
7.15,2.00830622121973e-06,0,328.413972657482,1.55088622303669e-05,12.6029461165496,-9.15899299177173e-05,-9.48949733362425e-05
7.2,2.5177186368907e-06,0,329.029206853557,6.97064180277908e-06,12.105912273133,-7.40142430609795e-05,-7.75556547849071e-05
7.25,2.67140329970363e-06,0,329.619604829236,7.67179435827353e-07,11.6093912897565,-5.62118073795747e-05,-5.97566892998534e-05
7.3,2.57670398998548e-06,0,330.18519158367,-3.42349383780547e-06,11.1133617161537,-3.91186841906565e-05,-4.2490798092616e-05
7.35,2.32344091765273e-06,0,330.725991046022,-5.96442330389604e-06,10.6178021856722,-2.34085718125168e-05,-2.64829302713893e-05
7.4,1.98313523505593e-06,0,331.242026079532,-7.21909778692001e-06,10.122691411533,-9.52549314822785e-06,-1.22216217349795e-05
7.45,1.60984725734642e-06,0,331.733318485401,-7.52441366382738e-06,9.6280081831179,2.27985842728389e-06,5.2591820026383e-09
7.5,1.24202507756974e-06,0,332.19988900649,-7.17467510223154e-06,9.13373136228573,1.19130626056546e-05,1.00734993653794e-05
7.55,9.04887910354606e-07,0,332.641757330829,-6.41411146938188e-06,8.63983987971362,1.94003526457214e-05,1.79865658578338e-05
7.6,6.12988543989736e-07,0,333.058942094954,-5.43560743505996e-06,8.14631273126385,2.48558755803704e-05,2.38422476871018e-05
7.65,3.72705370063142e-07,0,333.451460887055,-4.38365477625972e-06,7.65312897437392,2.84526724467941e-05,2.78028713374988e-05
